Date,AXISBANK.NS,BAJAJHLDNG.NS,BALKRISHNA.NS,CDSL.NS,CIPLA.NS,EIDPARRY.NS,HCL-INSYS.NS,HDFCBANK.NS,ICICIBANK.NS,ICRA.NS,IEX.NS,INFY.NS,IPCALAB.NS,ITC.NS,KOTAKBANK.NS,M&M.NS,MAHSCOOTER.NS,MARUTI.NS,MCX.NS,MOTILALOFS.NS,NH.NS,POWERGRID.NS,SWARAJENG.NS,ZYDUSWELL.NS
2022-04-01,771.1898803710938,5150.75537109375,33.91265869140625,723.7943115234375,985.243408203125,439.9028625488281,19.399999618530273,1451.98486328125,713.7863159179688,3992.299072265625,220.1826934814453,1769.45703125,1017.8732299804688,230.85194396972656,1772.1778564453125,795.492431640625,3385.356689453125,7507.4580078125,1406.1630859375,877.9347534179688,742.9410400390625,145.85357666015625,1196.4580078125,1545.80029296875
2022-04-04,780.6983642578125,5560.6142578125,35.606563568115234,731.3877563476562,997.8157958984375,448.5360412597656,19.75,1597.3760986328125,723.820556640625,3977.209228515625,227.8097381591797,1750.30810546875,1020.89501953125,232.81138610839844,1831.428466796875,802.373779296875,3386.263916015625,7580.33837890625,1414.0050048828125,882.687255859375,752.2513427734375,147.3766326904297,1237.9527587890625,1560.66748046875
2022-04-05,779.7027587890625,5861.0908203125,37.369606018066406,735.813232421875,991.6510009765625,455.9498596191406,19.899999618530273,1550.5675048828125,719.1669921875,4170.91162109375,234.05435180664062,1729.997314453125,1022.8764038085938,236.4569091796875,1797.66357421875,805.1166381835938,3619.269287109375,7567.71240234375,1423.7955322265625,891.751220703125,739.573486328125,151.03834533691406,1256.4244384765625,1566.6640625
2022-04-06,770.343505859375,5933.74169921875,38.890663146972656,726.9138793945312,998.9806518554688,452.9745788574219,20.299999237060547,1495.226318359375,718.9730224609375,4123.70751953125,234.86474609375,1700.0191650390625,1012.8700561523438,236.59361267089844,1774.921142578125,796.7435302734375,3578.56689453125,7550.50390625,1431.881103515625,888.6156005859375,731.4518432617188,153.37147521972656,1256.91064453125,1600.0657958984375
2022-04-07,788.6637573242188,5956.06640625,37.369606018066406,707.204833984375,1006.4559326171875,463.510009765625,20.049999237060547,1462.349365234375,725.7110595703125,4158.43359375,227.6190643310547,1683.4266357421875,992.21337890625,233.905029296875,1762.003662109375,802.951171875,3539.634521484375,7449.3974609375,1423.0648193359375,884.255126953125,726.103271484375,149.93655395507812,1257.8385009765625,1579.49951171875
2022-04-08,791.4515991210938,5929.44873046875,36.22881317138672,706.1649780273438,982.0883178710938,468.28997802734375,20.299999237060547,1460.32470703125,731.28564453125,4083.128662109375,229.8118438720703,1686.7730712890625,1018.1210327148438,244.06687927246094,1780.0081787109375,825.1832885742188,3547.847412109375,7368.91259765625,1429.9327392578125,896.1118774414062,732.8385009765625,150.74668884277344,1272.3773193359375,1611.4639892578125
2022-04-11,782.6399536132812,5867.76904296875,35.05345153808594,700.8206176757812,995.5828247070312,492.0434875488281,20.200000762939453,1442.488037109375,736.423828125,4242.44384765625,224.9019317626953,1642.10791015625,1027.681396484375,243.7935028076172,1778.960693359375,824.6538696289062,3553.97314453125,7376.17578125,1403.045654296875,896.2097778320312,742.000244140625,149.64491271972656,1275.6473388671875,1633.9632568359375
2022-04-12,794.9862060546875,5436.92138671875,35.606563568115234,690.2042846679688,997.28173828125,502.4813232421875,19.649999618530273,1439.9332275390625,740.544189453125,4176.57080078125,223.75787353515625,1619.70556640625,1031.69384765625,241.33274841308594,1797.314453125,828.4555053710938,3473.158935546875,7427.8017578125,1375.7689208984375,871.0755615234375,732.2440795898438,151.0707244873047,1268.930419921875,1639.7119140625
2022-04-13,789.609619140625,5263.5224609375,36.29795455932617,694.36376953125,986.9423828125,493.2628479003906,19.700000762939453,1412.4071044921875,738.9930419921875,4194.99755859375,224.472900390625,1625.375732421875,1033.4771728515625,245.6617889404297,1775.1204833984375,833.556396484375,3503.242919921875,7282.6748046875,1365.978515625,875.632080078125,724.1720581054688,148.73757934570312,1260.09228515625,1653.7862548828125
2022-04-18,795.3843994140625,4965.24072265625,35.157161712646484,691.3167114257812,997.8641967773438,501.4082946777344,19.100000381469727,1345.3997802734375,734.6787719726562,4069.05517578125,220.23037719726562,1507.182861328125,1013.5635375976562,246.1630859375,1745.9940185546875,841.2556762695312,3474.97412109375,7384.0732421875,1345.3262939453125,858.4349365234375,719.3186645507812,149.77455139160156,1258.50146484375,1625.7862548828125
2022-04-19,794.3389892578125,4952.7431640625,33.80895233154297,679.1527099609375,971.117919921875,486.82452392578125,19.049999237060547,1294.059814453125,742.91943359375,3947.367919921875,217.60858154296875,1451.9669189453125,1006.9752807617188,238.3707733154297,1703.2020263671875,839.7158813476562,3511.54638671875,7249.13525390625,1303.7293701171875,881.5603637695312,721.2501220703125,147.6682586669922,1271.0516357421875,1602.19677734375
2022-04-20,791.2525024414062,5015.51904296875,33.60153579711914,686.0447998046875,982.525146484375,480.3374328613281,18.799999237060547,1305.7259521484375,732.4974975585938,3896.5849609375,221.23143005371094,1475.856689453125,1016.6348876953125,236.5480194091797,1716.96728515625,848.136962890625,3537.54736328125,7474.9423828125,1308.5513916015625,872.1533813476562,707.4332275390625,147.1173553466797,1275.161376953125,1610.2747802734375
